,Compound,TyreLife,FreshTyre,Position,GridPosition,Round,Year
3,MEDIUM,1.0,True,13.0,16.0,Singapore Grand Prix,2019
4,MEDIUM,1.0,True,17.0,13.0,Singapore Grand Prix,2019
5,SOFT,4.0,False,6.0,6.0,Singapore Grand Prix,2019
6,MEDIUM,1.0,True,15.0,14.0,Singapore Grand Prix,2019
7,SOFT,4.0,False,9.0,8.0,Singapore Grand Prix,2019
8,MEDIUM,1.0,True,14.0,20.0,Singapore Grand Prix,2019
9,SOFT,4.0,False,3.0,4.0,Singapore Grand Prix,2019
10,SOFT,4.0,False,7.0,9.0,Singapore Grand Prix,2019
11,SOFT,4.0,False,4.0,2.0,Singapore Grand Prix,2019
12,SOFT,4.0,False,1.0,3.0,Singapore Grand Prix,2019
13,SOFT,4.0,False,12.0,7.0,Singapore Grand Prix,2019
14,MEDIUM,1.0,True,20.0,18.0,Singapore Grand Prix,2019
15,MEDIUM,1.0,True,18.0,12.0,Singapore Grand Prix,2019
16,SOFT,4.0,False,5.0,5.0,Singapore Grand Prix,2019
17,MEDIUM,1.0,True,11.0,17.0,Singapore Grand Prix,2019
18,MEDIUM,1.0,True,16.0,19.0,Singapore Grand Prix,2019
19,MEDIUM,1.0,True,10.0,10.0,Singapore Grand Prix,2019
0,MEDIUM,4.0,False,1.0,2.0,Russian Grand Prix,2019
1,MEDIUM,4.0,False,2.0,4.0,Russian Grand Prix,2019
2,SOFT,4.0,False,3.0,1.0,Russian Grand Prix,2019
3,SOFT,4.0,False,4.0,9.0,Russian Grand Prix,2019
4,MEDIUM,1.0,True,5.0,0.0,Russian Grand Prix,2019
5,SOFT,4.0,False,6.0,5.0,Russian Grand Prix,2019
6,SOFT,1.0,True,7.0,11.0,Russian Grand Prix,2019
7,SOFT,4.0,False,8.0,7.0,Russian Grand Prix,2019
8,SOFT,1.0,True,9.0,13.0,Russian Grand Prix,2019
9,SOFT,4.0,False,10.0,6.0,Russian Grand Prix,2019
10,MEDIUM,1.0,True,11.0,14.0,Russian Grand Prix,2019
11,HARD,1.0,True,12.0,19.0,Russian Grand Prix,2019
12,MEDIUM,1.0,True,13.0,15.0,Russian Grand Prix,2019
13,MEDIUM,1.0,True,14.0,16.0,Russian Grand Prix,2019
14,SOFT,1.0,True,15.0,12.0,Russian Grand Prix,2019
15,MEDIUM,1.0,True,16.0,18.0,Russian Grand Prix,2019
16,MEDIUM,1.0,True,17.0,17.0,Russian Grand Prix,2019
17,SOFT,4.0,False,18.0,3.0,Russian Grand Prix,2019
18,SOFT,4.0,False,19.0,10.0,Russian Grand Prix,2019
19,SOFT,4.0,False,20.0,8.0,Russian Grand Prix,2019
0,SOFT,4.0,False,7.0,9.0,Japanese Grand Prix,2019
1,SOFT,1.0,True,8.0,17.0,Japanese Grand Prix,2019
2,SOFT,4.0,False,6.0,2.0,Japanese Grand Prix,2019
3,SOFT,1.0,True,9.0,12.0,Japanese Grand Prix,2019
