,Compound,TyreLife,FreshTyre,Position,GridPosition,Round,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindSpeed
2,SOFT,6.0,False,3.0,2.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
3,SOFT,4.0,False,4.0,3.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
4,SOFT,5.0,False,5.0,8.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
5,SOFT,6.0,False,6.0,9.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
6,SOFT,6.0,False,7.0,7.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
7,SOFT,6.0,False,8.0,10.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
8,SOFT,6.0,False,9.0,6.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
9,SOFT,1.0,True,10.0,13.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
10,MEDIUM,1.0,True,11.0,12.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
11,MEDIUM,1.0,True,12.0,16.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
12,MEDIUM,1.0,True,13.0,11.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
13,SOFT,6.0,False,14.0,5.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
14,MEDIUM,1.0,True,15.0,19.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
15,MEDIUM,1.0,True,16.0,17.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
16,SOFT,1.0,True,17.0,14.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
17,MEDIUM,1.0,True,18.0,20.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
18,SOFT,1.0,True,19.0,18.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
19,MEDIUM,1.0,True,20.0,15.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
0,SOFT,4.0,False,8.0,5.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
1,MEDIUM,1.0,True,12.0,15.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
2,MEDIUM,6.0,False,3.0,3.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
3,HARD,1.0,True,9.0,17.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
4,HARD,1.0,True,17.0,0.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
5,MEDIUM,1.0,True,19.0,13.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
6,MEDIUM,1.0,True,10.0,10.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
7,SOFT,4.0,False,7.0,7.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
8,SOFT,4.0,False,6.0,4.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
9,HARD,1.0,True,5.0,9.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
10,SOFT,4.0,False,20.0,8.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
11,MEDIUM,4.0,False,1.0,2.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
12,MEDIUM,6.0,False,2.0,1.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
13,SOFT,4.0,False,11.0,11.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
14,MEDIUM,1.0,True,16.0,18.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
15,MEDIUM,1.0,True,15.0,16.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
16,MEDIUM,4.0,False,4.0,6.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
17,MEDIUM,1.0,True,14.0,14.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
18,MEDIUM,1.0,True,18.0,19.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
19,HARD,1.0,True,13.0,12.0,Canadian Grand Prix,2019,28.3,16.9,1022.7,False,51.7,0.6
0,MEDIUM,5.0,False,1.0,1.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
1,MEDIUM,6.0,False,2.0,2.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
2,MEDIUM,4.0,False,3.0,3.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
3,MEDIUM,6.0,False,4.0,4.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
4,MEDIUM,4.0,False,5.0,7.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
5,MEDIUM,6.0,False,6.0,6.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
6,HARD,1.0,True,7.0,12.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
7,HARD,1.0,True,8.0,13.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
8,MEDIUM,6.0,False,9.0,5.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
9,SOFT,4.0,False,10.0,9.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
10,MEDIUM,5.0,False,11.0,8.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
11,MEDIUM,1.0,True,12.0,14.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
12,HARD,1.0,True,13.0,17.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
13,HARD,1.0,True,14.0,19.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
14,MEDIUM,1.0,True,15.0,11.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
15,SOFT,4.0,False,16.0,10.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
16,MEDIUM,1.0,True,17.0,15.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
17,MEDIUM,1.0,True,18.0,18.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
18,MEDIUM,1.0,True,19.0,20.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
19,HARD,1.0,True,20.0,16.0,French Grand Prix,2019,25.8,41.7,967.0,False,51.9,2.8
0,MEDIUM,4.0,False,1.0,2.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
1,SOFT,4.0,False,2.0,1.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
2,MEDIUM,4.0,False,3.0,3.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
3,SOFT,4.0,False,4.0,9.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
4,MEDIUM,5.0,False,5.0,4.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
5,SOFT,4.0,False,6.0,5.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
6,SOFT,4.0,False,7.0,8.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
7,MEDIUM,1.0,True,8.0,19.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
8,SOFT,4.0,False,9.0,6.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
9,SOFT,4.0,False,10.0,7.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
10,MEDIUM,1.0,True,11.0,13.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
11,MEDIUM,1.0,True,12.0,12.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
12,MEDIUM,1.0,True,13.0,15.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
13,MEDIUM,1.0,True,14.0,14.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
14,MEDIUM,1.0,True,15.0,18.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
15,MEDIUM,1.0,True,16.0,11.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
16,MEDIUM,1.0,True,17.0,16.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
17,MEDIUM,1.0,True,18.0,0.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
18,SOFT,4.0,False,19.0,10.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
19,MEDIUM,1.0,True,20.0,17.0,Austrian Grand Prix,2019,33.3,21.2,941.3,False,51.4,1.8
0,MEDIUM,6.0,False,4.0,5.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
1,MEDIUM,1.0,True,17.0,15.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
2,SOFT,4.0,False,3.0,3.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
3,MEDIUM,1.0,True,13.0,18.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
4,SOFT,1.0,True,20.0,16.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
5,SOFT,6.0,False,12.0,9.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
6,SOFT,1.0,True,9.0,17.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
7,SOFT,4.0,False,10.0,10.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
8,SOFT,4.0,False,7.0,7.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
