,Compound,TyreLife,Position,GridPosition,Round,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindSpeed
218,1,1.0,18.0,15.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
219,0,1.0,19.0,3.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
220,1,1.0,1.0,6.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
221,1,1.0,2.0,2.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
222,1,1.0,3.0,4.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
223,1,1.0,4.0,9.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
224,1,1.0,5.0,5.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
225,1,1.0,6.0,7.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
226,2,1.0,7.0,0.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
227,1,1.0,8.0,11.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
228,1,4.0,9.0,15.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
229,1,1.0,10.0,16.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
230,2,1.0,11.0,0.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
231,1,1.0,12.0,13.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
232,1,1.0,13.0,12.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
233,1,1.0,14.0,0.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
234,1,1.0,15.0,14.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
235,1,1.0,16.0,0.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
236,1,1.0,17.0,10.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
237,1,1.0,18.0,8.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
238,1,1.0,19.0,3.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
239,1,1.0,20.0,1.0,18,2023,28.6,49.0,995.0,0,39.4,3.2
240,1,1.0,1.0,3.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
241,1,1.0,11.0,11.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
242,1,1.0,20.0,5.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
243,1,2.0,18.0,13.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
244,1,1.0,3.0,1.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
245,1,2.0,17.0,0.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
246,1,1.0,16.0,19.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
247,1,1.0,19.0,16.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
248,1,1.0,12.0,18.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
249,2,1.0,9.0,14.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
250,1,1.0,14.0,10.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
251,1,1.0,13.0,12.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
252,1,1.0,7.0,4.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
253,2,1.0,10.0,15.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
254,0,1.0,5.0,17.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
255,1,1.0,2.0,6.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
256,1,1.0,4.0,2.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
257,1,1.0,6.0,8.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
258,1,1.0,15.0,9.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
259,1,1.0,8.0,7.0,19,2023,24.7,31.0,781.2,0,47.3,1.0
260,0,4.0,1.0,1.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
261,0,4.0,2.0,6.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
262,0,4.0,3.0,4.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
263,0,4.0,4.0,9.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
264,0,1.0,5.0,3.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
265,0,3.0,6.0,7.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
266,0,3.0,7.0,15.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
267,0,4.0,8.0,5.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
268,0,4.0,9.0,16.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
269,0,4.0,10.0,14.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
270,1,1.0,11.0,19.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
271,0,1.0,12.0,11.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
272,0,1.0,13.0,17.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
273,0,3.0,14.0,10.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
274,0,4.0,15.0,8.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
275,0,1.0,16.0,18.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
276,0,1.0,17.0,20.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
277,0,1.0,18.0,12.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
278,0,4.0,19.0,13.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
279,0,1.0,20.0,0.0,20,2023,20.3,62.0,928.4,0,51.4,1.8
280,1,1.0,1.0,2.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
281,1,1.0,11.0,4.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
282,1,1.0,3.0,11.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
283,1,1.0,9.0,9.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
284,1,1.0,2.0,1.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
285,0,5.0,5.0,19.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
286,1,1.0,16.0,6.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
287,1,1.0,13.0,8.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
288,0,1.0,18.0,20.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
289,1,1.0,12.0,5.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
290,2,1.0,15.0,17.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
291,1,1.0,19.0,13.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
292,1,1.0,14.0,14.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
293,1,1.0,4.0,16.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
294,1,2.0,20.0,15.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
295,2,1.0,7.0,10.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
296,1,1.0,6.0,12.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
297,1,1.0,8.0,3.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
298,1,1.0,17.0,7.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
299,2,2.0,10.0,18.0,21,2023,18.1,45.0,940.2,0,20.3,2.5
